donor	n.cells
DLCP0015	36
DLCP0018	129
DLCP0019	1554
DLCP1286	3224
DLCP1287	1481
DLCP1288	2479
DLCP1295	5198
DLCP1298	3117
DLCP1299	2335
DLCP1303	2736
DLCP1307	1889
DLCP1308	1544
DLCP1314	366
DLCP1318	2487
DLCP1320	5528
DLCP1325	2505
DLCP1328	4755
DLCP1329	1282
DLCP1330	668
DLCP1338	877
DLCP1353	1105
DLCP1355	3442
DLCP1363	4935
DLCP1367	562
DLCP1369	8852
DLCP1371	3750
DLCP1374	1165
DLCP1389	2570
DLCP1401	1452
DLCP1403	734
DLCP1405	4532
DLCP1406	5091
DLCP1410	789
DLCP1414	2143
DLCP1415	433
DLCP1416	2167
DLCP1418	2737
DLCP1421	2863
DLCP1423	1493
DLCP1427	1275
DLCP1431	1432
DLCP1436	1753
DLCP1437	1687
DLCP1438	913
DLCP1453	2443
DLCP1454	1125
DLCP1456	3178
DLCP1464	784
DLCP1466	316
DLCP1470	1680
DLCP1475	2385
DLCP1476	2803
DLCP1479	568
DLCP1487	3394
DLCP1489	716
DLCP1505	230
DLCP1508	753
DLCP1510	334
DLCP1518	350
DLCP1519	1836
DLCP1524	1644
DLCP1538	4620
DLCP1545	760
DLCP1556	3469
DLCP1567	1925
DLCP1568	2005
DLCP1577	6074
DLCP1578	1852
DLCP1580	4350
DLCP1582	2956
DLCP1589	4890
DLCP1604	2880
DLCP1605	1078
DLCP1606	2564
DLCP1611	1438
DLCP1615	666
DLCP1616	554
DLCP1618	902
DLCP1620	274
DLCP1621	4503
DLCP1624	420
DLCP1626	2295
DLCP1630	2114
DLCP1632	744
DLCP1636	1858
DLCP1638	828
DLCP1676	1075
DLCP1682	1029
DLCP1700	429
DLCP1730	2335
DLCP1731	521
DLCP1742	3639
DLCP1751	427
DLCP1754	1846
DLCP1757	2517
DLCP1767	4441
DLCP1781	2151
DLCP1784	1270
DLCP1788	5579
DLCP1790	445
DLCP1796	8144
DLCP1808	1463
DLCP1810	4129
DLCP1812	1214
DLCP1821	4370
DLCP1830	2217
DLCP1832	2465
DLCP1838	3430
DLCP1841	1206
DLCP1848	3521
DLCP1864	1334
DLCP1865	6869
DLCP1867	1389
DLCP1869	6875
DLCP1877	1125
DLCP1878	1415
DLCP1880	2052
DLCP1885	1149
DLCP1915	2626
DLCP1917	3228
