Geneid	Chr	Start	End	Strand	Length	gene_name	Excel_name	gene_type
ENSG00000000003	chrX	100627108	100639991	-	12884	TSPAN6	'TSPAN6	protein_coding
ENSG00000000005	chrX	100584936	100599885	+	14950	TNMD	'TNMD	protein_coding
ENSG00000000419	chr20	50934867	50958555	-	23689	DPM1	'DPM1	protein_coding
ENSG00000000457	chr1	169849631	169894267	-	44637	SCYL3	'SCYL3	protein_coding
ENSG00000000460	chr1	169662007	169854080	+	192074	C1orf112	'C1orf112	protein_coding
ENSG00000000938	chr1	27612064	27635185	-	23122	FGR	'FGR	protein_coding
ENSG00000000971	chr1	196651878	196747504	+	95627	CFH	'CFH	protein_coding
ENSG00000001036	chr6	143494812	143511720	-	16909	FUCA2	'FUCA2	protein_coding
ENSG00000001084	chr6	53497341	53616970	-	119630	GCLC	'GCLC	protein_coding
ENSG00000001167	chr6	41072945	41099976	+	27032	NFYA	'NFYA	protein_coding
ENSG00000001460	chr1	24356999	24416934	-	59936	STPG1	'STPG1	protein_coding
ENSG00000001461	chr1	24415802	24472976	+	57175	NIPAL3	'NIPAL3	protein_coding
ENSG00000001497	chrX	65512582	65534775	-	22194	LAS1L	'LAS1L	protein_coding
ENSG00000001561	chr6	46129989	46146688	+	16700	ENPP4	'ENPP4	protein_coding
ENSG00000001617	chr3	50155045	50189075	+	34031	SEMA3F	'SEMA3F	protein_coding
ENSG00000001626	chr7	117465784	117715971	+	250188	CFTR	'CFTR	protein_coding
ENSG00000001629	chr7	92245974	92401383	+	155410	ANKIB1	'ANKIB1	protein_coding
ENSG00000001630	chr7	92112153	92134803	-	22651	CYP51A1	'CYP51A1	protein_coding
ENSG00000001631	chr7	92198969	92246166	-	47198	KRIT1	'KRIT1	protein_coding
ENSG00000002016	chr12	911736	990053	-	78318	RAD52	'RAD52	protein_coding
ENSG00000002330	chr11	64269830	64284704	-	14875	BAD	'BAD	protein_coding
ENSG00000002549	chr4	17577192	17607972	+	30781	LAP3	'LAP3	protein_coding
ENSG00000002586	chrX	2691187	2741309	+	50123	CD99	'CD99	protein_coding
ENSG00000002587	chr4	11393150	11429564	-	36415	HS3ST1	'HS3ST1	protein_coding
ENSG00000002726	chr7	150824627	150861504	+	36878	AOC1	'AOC1	protein_coding
ENSG00000002745	chr7	121325367	121341104	+	15738	WNT16	'WNT16	protein_coding
ENSG00000002746	chr7	43112629	43566001	+	453373	HECW1	'HECW1	protein_coding
ENSG00000002822	chr7	1815793	2233243	-	417451	MAD1L1	'MAD1L1	protein_coding
ENSG00000002834	chr17	38869859	38921770	+	51912	LASP1	'LASP1	protein_coding
ENSG00000002919	chr17	48103357	48123074	+	19718	SNX11	'SNX11	protein_coding
ENSG00000002933	chr7	150800403	150805118	+	4716	TMEM176A	'TMEM176A	protein_coding
ENSG00000003056	chr12	8940361	8949761	-	9401	M6PR	'M6PR	protein_coding
ENSG00000003096	chrX	117897813	118117340	-	219528	KLHL13	'KLHL13	protein_coding
ENSG00000003137	chr2	72129238	72148038	-	18801	CYP26B1	'CYP26B1	protein_coding
ENSG00000003147	chr7	8113184	8262687	-	149504	ICA1	'ICA1	protein_coding
ENSG00000003249	chr16	90004865	90020128	-	15264	DBNDD1	'DBNDD1	protein_coding
ENSG00000003393	chr2	201700267	201780956	-	80690	ALS2	'ALS2	protein_coding
ENSG00000003400	chr2	201182881	201229406	+	46526	CASP10	'CASP10	protein_coding
ENSG00000003402	chr2	201116154	201176687	+	60534	CFLAR	'CFLAR	protein_coding
ENSG00000003436	chr2	187464230	187565760	-	101531	TFPI	'TFPI	protein_coding
ENSG00000003509	chr2	37231631	37253403	+	21773	NDUFAF7	'NDUFAF7	protein_coding
ENSG00000003756	chr3	50088919	50119021	+	30103	RBM5	'RBM5	protein_coding
ENSG00000003987	chr8	17296794	17413528	-	116735	MTMR7	'MTMR7	protein_coding
ENSG00000003989	chr8	17497088	17570573	+	73486	SLC7A2	'SLC7A2	protein_coding
ENSG00000004059	chr7	127588386	127591700	+	3315	ARF5	'ARF5	protein_coding
ENSG00000004139	chr17	28364356	28404049	+	39694	SARM1	'SARM1	protein_coding
ENSG00000004142	chr17	28346633	28357527	-	10895	POLDIP2	'POLDIP2	protein_coding
ENSG00000004399	chr3	129555175	129606818	-	51644	PLXND1	'PLXND1	protein_coding
ENSG00000004455	chr1	33007940	33080996	-	73057	AK2	'AK2	protein_coding
ENSG00000004468	chr4	15778275	15853232	+	74958	CD38	'CD38	protein_coding
ENSG00000004478	chr12	2794970	2805423	+	10454	FKBP4	'FKBP4	protein_coding
ENSG00000004487	chr1	23019443	23083689	+	64247	KDM1A	'KDM1A	protein_coding
ENSG00000004534	chr3	49940007	50100045	+	160039	RBM6	'RBM6	protein_coding
ENSG00000004660	chr17	3860315	3894891	-	34577	CAMKK1	'CAMKK1	protein_coding
ENSG00000004700	chr12	21468910	21501669	-	32760	RECQL	'RECQL	protein_coding
ENSG00000004766	chr7	93232340	93361123	+	128784	VPS50	'VPS50	protein_coding
ENSG00000004776	chr19	35754566	35758079	-	3514	HSPB6	'HSPB6	protein_coding
ENSG00000004777	chr19	35774532	35788822	+	14291	ARHGAP33	'ARHGAP33	protein_coding
ENSG00000004779	chr16	23581014	23596316	-	15303	NDUFAB1	'NDUFAB1	protein_coding
ENSG00000004799	chr7	95583499	95596516	-	13018	PDK4	'PDK4	protein_coding
ENSG00000004809	chr6	110424687	110476641	-	51955	SLC22A16	'SLC22A16	protein_coding
ENSG00000004838	chr3	50341110	50345732	-	4623	ZMYND10	'ZMYND10	protein_coding
ENSG00000004846	chr7	20615207	20777038	+	161832	ABCB5	'ABCB5	protein_coding
ENSG00000004848	chrX	25003694	25016420	-	12727	ARX	'ARX	protein_coding
ENSG00000004864	chr7	96120220	96322147	-	201928	SLC25A13	'SLC25A13	protein_coding
ENSG00000004866	chr7	116953238	117230103	+	276866	ST7	'ST7	protein_coding
ENSG00000004897	chr17	47117703	47189422	-	71720	CDC27	'CDC27	protein_coding
ENSG00000004939	chr17	44248390	44268141	-	19752	SLC4A1	'SLC4A1	protein_coding
ENSG00000004948	chr7	93424487	93574730	-	150244	CALCR	'CALCR	protein_coding
ENSG00000004961	chrX	11111301	11123086	+	11786	HCCS	'HCCS	protein_coding
ENSG00000004975	chr17	7225342	7234517	-	9176	DVL2	'DVL2	protein_coding
ENSG00000005001	chr16	2852730	2858170	-	5441	PRSS22	'PRSS22	protein_coding
ENSG00000005007	chr19	18831938	18868236	+	36299	UPF1	'UPF1	protein_coding
ENSG00000005020	chr7	26667068	26995239	-	328172	SKAP2	'SKAP2	protein_coding
ENSG00000005022	chrX	119468422	119471396	+	2975	SLC25A5	'SLC25A5	protein_coding
ENSG00000005059	chr4	109560209	109688719	+	128511	MCUB	'MCUB	protein_coding
ENSG00000005073	chr7	27181510	27185223	-	3714	HOXA11	'HOXA11	protein_coding
ENSG00000005075	chr7	102473118	102478907	-	5790	POLR2J	'POLR2J	protein_coding
ENSG00000005100	chr17	5440917	5468982	-	28066	DHX33	'DHX33	protein_coding
ENSG00000005102	chr17	43640389	43661922	-	21534	MEOX1	'MEOX1	protein_coding
ENSG00000005108	chr7	11370365	11832198	-	461834	THSD7A	'THSD7A	protein_coding
ENSG00000005156	chr17	34980512	35009743	+	29232	LIG3	'LIG3	protein_coding
ENSG00000005175	chr12	47661249	47706030	-	44782	RPAP3	'RPAP3	protein_coding
ENSG00000005187	chr16	20610243	20797581	+	187339	ACSM3	'ACSM3	protein_coding
ENSG00000005189	chr16	20806429	20849668	+	43240	REXO5	'REXO5	protein_coding
ENSG00000005194	chr16	57428187	57447420	-	19234	CIAPIN1	'CIAPIN1	protein_coding
ENSG00000005206	chr19	2328615	2355095	+	26481	SPPL2B	'SPPL2B	protein_coding
ENSG00000005238	chr9	35104112	35116341	-	12230	FAM214B	'FAM214B	protein_coding
ENSG00000005243	chr17	48026167	48038030	-	11864	COPZ2	'COPZ2	protein_coding
ENSG00000005249	chr7	107044705	107161811	+	117107	PRKAR2B	'PRKAR2B	protein_coding
ENSG00000005302	chrX	11758159	11775772	+	17614	MSL3	'MSL3	protein_coding
ENSG00000005339	chr16	3725054	3880726	-	155673	CREBBP	'CREBBP	protein_coding
ENSG00000005379	chr17	58301228	58328795	-	27568	TSPOAP1	'TSPOAP1	protein_coding
ENSG00000005381	chr17	58269855	58280935	-	11081	MPO	'MPO	protein_coding
ENSG00000005421	chr7	95297676	95324532	-	26857	PON1	'PON1	protein_coding
ENSG00000005436	chr2	75652000	75710985	-	58986	GCFC2	'GCFC2	protein_coding
ENSG00000005448	chr2	74421678	74425755	+	4078	WDR54	'WDR54	protein_coding
