geneid	chr	s1	s2
ENSG00000178591	20	87250	87250
ENSG00000125788	20	142590	142590
ENSG00000088782	20	157454	157454
ENSG00000185982	20	189711	189711
ENSG00000125903	20	227258	227258
ENSG00000186458	20	257724	257724
ENSG00000272874	20	267186	267186
ENSG00000196476	20	290778	290778
ENSG00000247315	20	297570	297570
ENSG00000286158	20	311731	311731
ENSG00000225377	20	348490	348490
ENSG00000177732	20	325595	325595
ENSG00000125841	20	346782	346782
ENSG00000101255	20	362835	362835
ENSG00000125826	20	407498	407498
ENSG00000125875	20	462543	462543
ENSG00000101266	20	543835	543835
ENSG00000125878	20	610398	610398
ENSG00000271303	20	653370	653370
ENSG00000215397	20	675802	675802
ENSG00000101276	20	776015	776015
ENSG00000125898	20	833715	833715
ENSG00000101280	20	916334	916334
ENSG00000101282	20	1002311	1002311
ENSG00000286787	20	1118467	1118467
ENSG00000125818	20	1113240	1113240
ENSG00000125895	20	1185415	1185415
ENSG00000215595	20	1203454	1203454
ENSG00000244588	20	1226056	1226056
ENSG00000101298	20	1266280	1266280
ENSG00000125775	20	1329139	1329139
ENSG00000234684	20	1325405	1325405
ENSG00000229728	20	1361622	1361622
ENSG00000088832	20	1393172	1393172
ENSG00000088833	20	1473842	1473842
ENSG00000196209	20	1491587	1491587
ENSG00000125900	20	1557705	1557705
ENSG00000101307	20	1620061	1620061
ENSG00000089012	20	1657779	1657779
ENSG00000237914	20	1633508	1633508
ENSG00000286288	20	1817765	1817765
ENSG00000276649	20	1894374	1894374
ENSG00000198053	20	1894167	1894167
ENSG00000233896	20	1947246	1947246
ENSG00000101327	20	1994285	1994285
ENSG00000125834	20	2101827	2101827
ENSG00000286108	20	2109991	2109991
ENSG00000287213	20	2194074	2194074
ENSG00000287561	20	2207397	2207397
ENSG00000226644	20	2207217	2207217
ENSG00000125780	20	2296001	2296001
ENSG00000166948	20	2380901	2380901
ENSG00000125835	20	2470853	2470853
ENSG00000088876	20	2524702	2524702
ENSG00000149488	20	2536607	2536607
ENSG00000101361	20	2652593	2652593
ENSG00000101365	20	2664219	2664219
ENSG00000228293	20	2664352	2664352
ENSG00000088881	20	2692878	2692878
ENSG00000088882	20	2800627	2800627
ENSG00000258713	20	2814987	2814987
ENSG00000198326	20	2816302	2816302
ENSG00000132635	20	2841190	2841190
ENSG00000215305	20	2840703	2840703
ENSG00000132670	20	2864184	2864184
ENSG00000125787	20	3043622	3043622
ENSG00000125901	20	3046052	3046052
ENSG00000101405	20	3071620	3071620
ENSG00000101200	20	3084724	3084724
ENSG00000235958	20	3106913	3106913
ENSG00000185019	20	3160196	3160196
ENSG00000215251	20	3159865	3159865
ENSG00000088899	20	3173592	3173592
ENSG00000198171	20	3204685	3204685
ENSG00000125877	20	3208868	3208868
ENSG00000088836	20	3239559	3239559
ENSG00000277287	20	3239705	3239705
ENSG00000088854	20	3407625	3407625
ENSG00000088812	20	3471018	3471018
ENSG00000125861	20	3663399	3663399
ENSG00000149451	20	3682246	3682246
ENSG00000088827	20	3707128	3707128
